,Date,Open,High,Low,Close,P/E,P/B,Div Yield %
5323,2021-05-27,15323.95,15384.55,15272.5,15337.85,29.48,4.39,0.99
5324,2021-05-28,15421.2,15469.65,15394.75,15435.65,28.98,4.42,0.98
5325,2021-05-31,15437.75,15606.35,15374.0,15582.8,29.22,4.39,1.06
5326,2021-06-01,15629.65,15660.75,15528.3,15574.85,28.87,4.39,1.07
5327,2021-06-02,15520.35,15597.45,15459.85,15576.2,28.88,4.39,1.06
5328,2021-06-03,15655.55,15705.1,15611.0,15690.35,29.1,4.43,1.07
5329,2021-06-04,15712.5,15733.6,15622.35,15670.25,29.06,4.42,1.07
5330,2021-06-07,15725.1,15773.45,15678.1,15751.65,29.21,4.44,1.07
5331,2021-06-08,15773.9,15778.8,15680.0,15740.1,29.19,4.44,1.07
5332,2021-06-09,15766.3,15800.45,15566.9,15635.35,28.99,4.41,1.07
5333,2021-06-10,15692.1,15751.25,15648.5,15737.75,29.18,4.44,1.15
5334,2021-06-11,15796.45,15835.55,15749.8,15799.35,29.3,4.46,1.18
5335,2021-06-14,15791.4,15823.05,15606.5,15811.85,29.32,4.46,1.20
5336,2021-06-15,15866.95,15901.6,15842.4,15869.25,29.43,4.48,1.20
5337,2021-06-16,15847.5,15880.85,15742.6,15767.55,29.24,4.45,1.20
5338,2021-06-17,15648.3,15769.35,15616.75,15691.4,29.1,4.43,1.24
5339,2021-06-18,15756.5,15761.5,15450.9,15683.35,29.08,4.32,1.24
5340,2021-06-21,15525.85,15765.15,15505.65,15746.5,29.19,4.31,1.22
5341,2021-06-22,15840.5,15895.75,15752.1,15772.75,29.05,4.32,1.21
5342,2021-06-23,15862.8,15862.95,15673.95,15686.95,28.89,4.3,1.22
5343,2021-06-24,15737.3,15821.4,15702.7,15790.45,29.08,4.32,1.22
5344,2021-06-25,15839.35,15870.8,15772.3,15860.35,29.21,4.34,1.21
5345,2021-06-28,15915.35,15915.65,15792.15,15814.7,29.12,4.33,1.22
5346,2021-06-29,15807.5,15835.9,15724.05,15748.45,29.0,4.31,1.26
5347,2021-06-30,15776.9,15839.1,15708.75,15721.5,28.33,4.24,1.26
5348,2021-07-01,15755.05,15755.55,15667.05,15680.0,28.26,4.23,1.27
5349,2021-07-02,15705.85,15738.35,15635.95,15722.2,28.33,4.24,1.23
5350,2021-07-05,15793.4,15845.95,15762.05,15834.35,28.53,4.27,1.23
5351,2021-07-06,15813.75,15914.2,15801.0,15818.25,28.5,4.26,1.10
5352,2021-07-07,15819.6,15893.55,15779.7,15879.65,28.62,4.28,1.10
5353,2021-07-08,15855.4,15885.75,15682.9,15727.9,28.34,4.24,1.14
5354,2021-07-09,15688.25,15730.85,15632.75,15689.8,28.27,4.23,1.09
5355,2021-07-12,15766.8,15789.2,15644.75,15692.6,28.21,4.23,1.09
5356,2021-07-13,15794.0,15820.8,15744.6,15812.35,28.43,4.26,1.08
5357,2021-07-14,15808.7,15877.35,15764.2,15853.95,28.5,4.27,1.09
5358,2021-07-15,15872.15,15952.35,15855.0,15924.2,28.63,4.29,1.10
5359,2021-07-16,15958.35,15962.25,15882.6,15923.4,28.53,4.29,1.09
5360,2021-07-19,15754.5,15836.9,15707.5,15752.4,28.23,4.25,1.11
